勇	O
稀人	O
は	O
和子	O
の	O
誘惑	O
に	O
負け	O
、	O
肉体	O
関係	O
を	O
持っ	O
て	O
しまう	O
。	O

A	O
: 	O
「	O
どう	O
も	O
ありがとう	O
。	O
」 	O
B	O
: 	O
「	O
こちら	B-IDIOM
こそ	I-IDIOM
。	O
」 	O
A	O
: 	O
"	O
Dōmo 	O
arigatō	O
.	O
" 	O
B	O
: 	O
"	O
Kochira 	O
koso	O
.	O
" 	O
A	O
: 	O
"	O
Thank you 	O
very 	O
much	O
.	O
" 	O
B	O
: 	O
"	O
No	O
, 	O
thank you	O
.	O
"	O

』	O
、	O
『	O
回転	O
木馬	O
』	O
、	O
『	O
南	O
太平洋	O
』	O
、	O
『	O
王	O
様	O
と	O
私	O
』	O
、	O
『	O
サウンド	O
・	O
オブ	O
・	O
ミュージック	O
』	O
の	O
5	O
作品	O
、	O
および	O
テレビ	O
・	O
ミュージカル	O
の	O
『	O
シンデレラ	O
』	O
は	O
特に	O
ヒット	O
し	O
た	O
。	O

A	O
: 	O
「	O
ごめん	O
なさい	O
。	O
」 	O
B	O
: 	O
「	O
いいえ	O
、	O
こちら	B-IDIOM
こそ	I-IDIOM
。	O
ごめん	O
なさい	O
。	O
」 	O
A	O
: 	O
"	O
Gomen 	O
nasai	O
.	O
" 	O
B	O
: 	O
"	O
Īe	O
, 	O
kochira 	O
koso	O
. 	O
Gomen 	O
nasai	O
.	O
" 	O
A	O
: 	O
"	O
Forgive 	O
me	O
.	O
" 	O
B	O
: 	O
"	O
No	O
, 	O
I	O
'	O
m 	O
the 	O
one 	O
that 	O
should 	O
be 	O
sorry	O
. 	O
Forgive 	O
me	O
.	O
"	O

アルバニア	O
王国	O
（	O
1928	O
年 	O
- 	O
1939	O
年	O
）	O
の	O
国旗	O
。	O

第	O
14	O
段落	O
で	O
は	O
フランス	O
王国	O
、	O
神聖	O
ローマ	O
皇帝	O
、	O
神聖	O
ローマ	O
帝国	O
の	O
諸	O
公爵	O
、	O
アルトナ	O
協定	O
の	O
保証	O
国	O
を	O
条約	O
の	O
保証	O
国	O
と	O
定め	O
た	O
。	O

来週	O
(	O
らいしゅう	O
)	O
お	O
邪魔(じゃま)	B-IDIOM
に	O
あがっ	O
て	O
も	O
よろしい	O
でしょう	O
か	O
。 	O
Raishū 	O
ojama 	O
ni 	O
agatte 	O
mo 	O
yoroshii 	O
deshō 	O
ka	O
.	O
Would 	O
it 	O
be 	O
all right 	O
to 	O
visit 	O
you 	O
next 	O
week	O
?	O

アルバニア	O
王国	O
も	O
約	O
3	O
分	O
の	O
2	O
の	O
領土	O
を	O
オーストリア	O
＝	O
ハンガリー	O
軍	O
に	O
占領	O
さ	O
れ	O
た	O
。	O

そう	O
、	O
問題(もんだい)	O
ない	O
よ	O
、	O
こんな	O
の	O
朝飯	B-IDIOM
前	I-IDIOM
(	O
あさめし	O
まえ	O
)	O
だ	O
。 	O
Sō	O
, 	O
mondai 	O
nai 	O
yo	O
, 	O
konna 	O
no 	O
asameshimae 	O
da	O
.	O
Sure	O
, 	O
no 	O
problem	O
, 	O
it	O
'	O
ll 	O
be 	O
a 	O
piece 	O
of 	O
cake	O
.	O

また	O
、	O
教皇	O
至上	O
説	O
を	O
批判	O
し	O
た	O
ため	O
、	O
とき	O
の	O
教皇	O
エウゲニウス	O
4	O
世	O
を	O
怒ら	O
せ	O
、	O
異端	O
審問	O
所	O
に	O
告発	O
さ	O
れ	O
た	O
。	O

精神	O
科	O
医	O
ナジ	O
（	O
Iván 	O
Böszörményi	O
-	O
Nagy	O
）	O
は	O
、	O
この	O
現象	O
を	O
「	O
見え	O
ない	O
忠誠	O
心	O
」	O
と	O
し	O
た	O
。	O

2005	O
, 	O
海	O
の 	O
穴子	O
, 	O
しあわせ	O
の	O
計り	O
, 	O
新風	O
舎	O
, 	O
page 	O
48	O
, 	O
年の暮れ	O
は	O
、	O
海苔	O
生産	O
者	O
は	O
、	O
猫	B-IDIOM
の	I-IDIOM
手	I-IDIOM
も	I-IDIOM
借り	I-IDIOM
たい	I-IDIOM
ほど	O
忙しい	O
。 	O
toshi 	O
no 	O
kure 	O
wa	O
, 	O
nori 	O
seisansha 	O
wa	O
, 	O
neko 	O
no 	O
te 	O
mo 	O
karitai 	O
hodo 	O
isogashii	O
. 	O
At 	O
the 	O
end 	O
of 	O
the 	O
year 	O
producers 	O
of 	O
nori 	O
are 	O
so 	O
busy 	O
there 	O
aren't 	O
enough 	O
hours 	O
in 	O
the 	O
day	O
.	O

オスマン	O
帝国	O
が	O
イスラーム	O
国家	O
で	O
あっ	O
た	O
ため	O
に	O
、	O
オスマン	O
帝国	O
に	O
よる	O
支配	O
を	O
受け	O
た	O
時代	O
は	O
、	O
ブルガリア	O
正教	O
会	O
の	O
歴史	O
の	O
中	O
で	O
も	O
大変	O
困難	O
な	O
もの	O
と	O
なっ	O
た	O
。	O

子	O
曰く	O
、	O
千	O
乗	O
の	O
国	O
を	O
道	O
びく	O
に	O
、	O
事	O
を	O
敬し	O
て	O
信	O
、	O
用	O
を	O
節し	O
て	O
人	O
を	O
愛し	O
、	O
民	O
を	O
使う	O
に	O
時	O
を	O
以て	O
す	O
。 	O
Shi 	O
iwaku	O
, 	O
senjō 	O
no 	O
kuni 	O
o 	O
michibiku 	O
ni	O
, 	O
koto 	O
o 	O
keishite 	O
shin	O
, 	O
yō 	O
o 	O
sesshite 	O
hito 	O
o 	O
aishi	O
, 	O
tami 	O
o 	O
tsukau 	O
ni 	O
toki 	O
o 	O
motte 	O
su	O
.	O

13	O
世紀	O
頃	O
