夙興	B-IDIOM
夜寐	I-IDIOM
，	O
靡	O
有	O
朝矣	O
。	O

成千上萬	O
的	O
工人	O
被	O
命令	O
建造	O
10	O
公里	O
長	O
的	O
牆壁	O
和	O
護城河	O
。	O

對於	O
不良	O
事件	O
的	O
常見	O
誤解	O
包括	O
： 	O
“	O
害群	B-IDIOM
之	I-IDIOM
馬	I-IDIOM
”	O
或	O
不	O
能	O
勝任	O
本職	O
的	O
醫務人	O
員	O
是	O
一	O
個	O
常見	O
原因	O
。	O

可以	O
說	O
我	O
們	O
已	O
經	O
脫離	O
了	O
過去	O
的	O
那	O
種	O
慢慢	O
發展	O
的	O
孤軍	B-IDIOM
作戰	I-IDIOM
的	O
景況	O
。	O

海市	O
蜃樓	O
在	O
此刻	O
雖然	O
依然	O
存在	O
，	O
但	O
已	O
不	O
若	O
日落	O
前數	O
小時	O
般	O
複雜	O
，	O
蜃景	O
不	O
再	O
是	O
複雜	O
蜃景	O
，	O
取而代之	B-IDIOM
的	O
是	O
單純	O
的	O
上	O
蜃景	O
。	O

1933年	O
，	O
沙特阿拉伯	O
赋予	O
加州	O
标准	O
石油	O
探油权	O
，	O
并	O
在	O
1938年	O
发现	O
了	O
原油	O
。	O

俄羅斯	O
聯邦	O
武裝	O
力量	O
特種	O
作戰	O
部隊	O
是	O
俄羅斯	O
國防部	O
的	O
一	O
支	O
高	O
機動性	O
、	O
訓練有素	O
、	O
裝備	O
精良	O
，	O
並	O
時刻	O
處於	O
戰備	O
狀態	O
的	O
特種	O
部隊	O
，	O
旨在	O
執行	O
特定	O
任務	O
去	O
保障	O
俄羅斯聯邦	O
的	O
利益	O
，	O
不	O
論	O
是	O
在	O
國內	O
還	O
是	O
海外	O
，	O
和平	O
時期	O
或是	O
戰爭	O
時期	O
。	O

一	O
年	O
內	O
，	O
九龍城	O
近海	O
五百	O
公尺	O
的	O
地方	O
皆	O
成為	O
荒地	O
，	O
無人	B-IDIOM
問津	I-IDIOM
。	O

我	O
們實踐	O
生活	O
修行	O
，	O
隨時	O
隨地	O
心存	O
恭敬	O
。	O

奧斯曼	O
帝國	O
則通	O
過海	O
陸路	O
的	O
武力	O
擴張	O
威脅	O
歐洲	O
，	O
他們	O
在	O
1529年	O
的	O
維	O
也	O
納	O
之	O
圍	O
兵鋒	O
直指	O
中歐	O
。	O

口頭	B-IDIOM
禪	I-IDIOM
是	O
「	O
嗯	O
！	O
讓	O
我	O
想想	O
」	O
、	O
「	O
拜託	O
！	O
大家	O
都	O
知道	O
」	O
、	O
「	O
根據	O
我	O
的	O
判斷	O
」	O
。	O

誰	O
不	O
懂得	O
這個	O
歷史	O
特點	O
，	O
誰	O
就	O
不	O
能	O
指導	O
這個	O
革命	O
和	O
進行	O
這個	O
革命	O
到	O
勝利	O
，	O
誰	O
就	O
會	O
被	O
人民	O
拋棄	O
，	O
變為	O
向隅而泣	B-IDIOM
的	O
可憐蟲	O
。	O

這樣	O
一	O
來	O
，	O
一些	O
喪盡	B-IDIOM
天良	I-IDIOM
的	O
資本家	O
，	O
就	O
見利	B-IDIOM
忘義	I-IDIOM
，	O
躍躍欲試	O
。	O

電影	O
中	O
的	O
警察	O
則	O
被	O
描寫	O
為	O
毫無	O
特色	O
、	O
例行	B-IDIOM
公事	I-IDIOM
的	O
普通	O
角色	O
，	O
而	O
柯瑞	O
表示	O
，	O
將	O
其中	O
三	O
位	O
警察	O
設定	O
為	O
三	O
隻	O
小豬	O
的	O
決定	O
並	O
不	O
具有	O
政治	O
意涵	O
。	O

1765年	O
该	O
建筑	O
被	O
拆除	O
，	O
取而代之	B-IDIOM
的	O
汉堡	O
国家	O
歌剧院	O
，	O
于	O
1769年	O
关闭	O
。	O

從	O
公開	O
的	O
文字	O
上	O
看起來	O
：	O
兩年	O
以前	O
，	O
我	O
們總	O
自	O
誇著	O
「	O
地大物博	O
」	O
，	O
是	O
事實	O
；	O
不久	O
就	O
不	O
再	O
自誇	O
了	O
，	O
只	O
希望	O
著	O
國聯	O
，	O
也	O
是	O
事實	O
；	O
現在	O
是	O
既	O
不	O
誇	O
自己	O
，	O
也	O
不	O
信	O
國聯	O
，	O
改為	O
一味	O
求神拜佛	B-IDIOM
，	O
懷古	O
傷今	O
了	O
——	O
卻	O
也	O
是	O
事實	O
。	O

北賽	O
普勒斯僅	O
有	O
與土	O
耳其	O
建交	O
。	O

我	O
們	O
的	O
教條	O
主義者	O
違背	O
列寧	O
的	O
指示	O
，	O
從來	O
不用	O
腦筋	O
具	O
體地	O
分析	O
任何	O
事物	O
，	O
做起	O
文章	O
或	O
演說來	O
，	O
總	O
是	O
空洞	B-IDIOM
無物	I-IDIOM
的	O
八股	O
調	O
，	O
在	O
我	O
們黨	O
內	O
造成	O
了	O
一	O
種	O
極壞	O
的	O
作風	O
。	O

1920年	O
秋	O
，	O
劫匪	O
四起	O
，	O
民不聊生	B-IDIOM
，	O
恒林率	O
民团	O
与	O
土匪	O
十战	O
，	O
环寺	O
数十	O
村	O
得以	O
安居乐业	O
，	O
被	O
誉为	O
少林	O
活佛	O
。	O

杜波	O
娃隊長	O
（	O
Captain 	O
Chantel 	O
DuBois	O
） 	O
本片	O
反派	O
，	O
心狠手辣	B-IDIOM
的	O
動物	O
管制	O
局	O
首領	O
。	O

一	O
周	O
播报	O
（	O
英语	O
：	O
Weekend 	O
Update	O
）	O
环节	O
停止	O
，	O
取而代之	B-IDIOM
的	O
是	O
由	O
柳熙烈	O
主持	O
的	O
迷你	O
脱口秀	O
。	O

建議	O
應趁	O
公孫	O
淵初	O
登位	O
，	O
出其不意	B-IDIOM
出兵	O
討伐	O
，	O
並開	O
設懸	O
賞	O
引誘	O
他	O
的	O
反對者	O
協助	O
，	O
可能	O
未必	O
開戰	O
就	O
能	O
解決	O
遼東	O
割據	O
問題	O
。	O

他	O
開始	O
從	O
印度	O
菜	O
的	O
基本	O
食材	O
中	O
考慮	O
，	O
比如	O
：	O
切碎	O
的	O
大蒜	O
、	O
生薑	O
、	O
綠	O
